Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
98,2025-12-29,00:24,sell,126.5,0.18,22.77,0.02277,1.3099999999999987,1123.0021599999995,961.4151700000001
99,2025-12-29,00:30,sell,127.34,0.373,47.497820000000004,0.04749782,0.9369999999999994,1123.0021599999995,1008.9129900000001
100,2025-12-29,00:31,sell,128.01,0.292,37.378919999999994,0.03737892,0.6449999999999996,1123.0021599999995,1046.2919100000001
101,2025-12-29,01:05,buy,126.29,0.368,46.474720000000005,0.046474720000000004,1.013,1169.4768799999995,1046.2919100000001
102,2025-12-29,01:39,sell,127.28,0.359,45.69352,0.04569352,0.6539999999999999,1169.4768799999995,1091.9854300000002
103,2025-12-29,01:39,sell,128.07,0.264,33.81048,0.03381048,0.39000000000000057,1169.4768799999995,1125.7959100000003
104,2025-12-29,09:47,buy,125.62,0.345,43.338899999999995,0.0433389,0.7350000000000012,1212.8157799999994,1125.7959100000003
105,2025-12-29,12:00,buy,124.98,0.338,42.24324000000001,0.04224324,1.0730000000000004,1255.0590199999995,1125.7959100000003
106,2025-12-29,12:07,buy,123.97,0.217,26.90149,0.02690149,1.290000000000001,1281.9605099999994,1125.7959100000003
107,2025-12-29,12:16,buy,122.96,0.218,26.80528,0.02680528,1.508000000000001,1308.7657899999995,1125.7959100000003
108,2025-12-30,07:07,sell,124.14,0.316,39.22824,0.03922824,1.1920000000000002,1308.7657899999995,1165.0241500000002
109,2025-12-30,08:08,sell,124.88,0.236,29.471679999999996,0.02947168,0.9559999999999995,1308.7657899999995,1194.4958300000003
110,2025-12-30,16:19,sell,125.95,0.367,46.22365,0.04622365,0.5890000000000004,1308.7657899999995,1240.7194800000002
111,2025-12-30,17:47,buy,124.45,0.372,46.2954,0.0462954,0.9610000000000003,1355.0611899999994,1240.7194800000002
112,2025-12-30,23:21,sell,124.72,0.316,39.41152,0.03941152,0.6449999999999996,1355.0611899999994,1280.1310000000003
113,2025-12-31,01:16,sell,125.47,0.236,29.610919999999997,0.0032383806999999997,0.4089999999999989,1355.0611899999994,1309.7419200000004
114,2025-12-31,16:43,buy,124.41,0.307,38.19387,0.0041552939999999995,0.7159999999999993,1393.2550599999995,1309.7419200000004
115,2025-12-31,20:21,buy,124.08,0.253,31.39224,0.0033849024,0.9689999999999994,1424.6472999999994,1309.7419200000004
116,2025-12-31,20:28,sell,124.82,0.253,31.579459999999997,0.0034225643999999996,0.7159999999999993,1424.6472999999994,1341.3213800000003
117,2025-12-31,20:28,sell,125.58,0.25,31.395,0.0034233108,0.4659999999999993,1424.6472999999994,1372.7163800000003
118,2025-12-31,20:28,buy,124.73,0.25,31.1825,0.0033627208,0.7159999999999993,1455.8297999999993,1372.7163800000003
119,2025-12-31,20:34,buy,123.51,0.225,27.78975,0.0029975877,0.940999999999999,1483.6195499999992,1372.7163800000003
120,2025-12-31,22:25,sell,125.07,0.228,28.51596,0.0030867276,0.7129999999999992,1483.6195499999992,1401.2323400000002
121,2026-01-01,17:30,sell,125.64,0.245,30.7818,0.003373434,0.46799999999999997,1483.6195499999992,1432.0141400000002
122,2026-01-01,23:01,sell,126.26,0.265,33.4589,0.0036665904,0.2029999999999994,1483.6195499999992,1465.4730400000003
123,2026-01-02,09:11,sell,128.8,0.177,22.7976,0.002532208,0.0259999999999998,1483.6195499999992,1488.2706400000004
