Trade#,Date,Time,Side,Price,Amount,Value,Fee,RunningQty,RunningSpent,RunningReceived
42,2025-12-18,08:31,sell,87090.51,0.00015,13.063576499999998,0.01306358,0.0031000000000000008,486.388278,209.73741720000004
43,2025-12-18,13:30,sell,88231.02,0.00013,11.4700326,0.01147003,0.002970000000000001,486.388278,221.20744980000003
44,2025-12-18,14:01,sell,89371.52,0.00013,11.6182976,0.0116183,0.002840000000000001,486.388278,232.82574740000004
45,2025-12-18,17:01,buy,87777.04,0.00014,12.288785599999999,0.0122887856,0.0029800000000000013,498.6770636,232.82574740000004
46,2025-12-18,17:14,buy,86321.17,0.00014,12.084963799999999,0.012084963800000001,0.0031200000000000017,510.7620274,232.82574740000004
47,2025-12-21,23:02,sell,88707.84,0.00031,27.499430399999998,0.02749943,0.0028100000000000017,510.7620274,260.32517780000006
48,2025-12-22,00:10,sell,89017.24,0.00027,24.034654800000002,0.02403465,0.002540000000000002,510.7620274,284.35983260000006
49,2025-12-22,00:13,sell,89326.63,0.00023,20.5451249,0.02054512,0.0023100000000000017,510.7620274,304.9049575000001
50,2025-12-22,00:20,buy,89082.48,0.00036,32.0696928,0.0320696928,0.002670000000000002,542.8317202000001,304.9049575000001
51,2025-12-22,00:57,buy,88871.12,0.00031,27.550047199999998,0.027550047199999997,0.002980000000000002,570.3817674000001,304.9049575000001
52,2025-12-22,01:00,buy,88558.98,0.00027,23.910924599999998,0.0239109246,0.0032500000000000025,594.2926920000001,304.9049575000001
53,2025-12-22,01:51,buy,88883.59,0.00031,27.5539129,0.027553912899999998,0.003560000000000003,621.8466049000001,304.9049575000001
54,2025-12-22,01:53,buy,88567.16,0.00027,23.9131332,0.023913133200000002,0.003830000000000003,645.7597381,304.9049575000001
55,2025-12-23,02:45,buy,88201.78,0.00053,46.7469434,0.0467469434,0.004360000000000003,692.5066815,304.9049575000001
56,2025-12-23,05:33,buy,87719,0.00041,35.96479,0.035964789999999996,0.004770000000000003,728.4714715,304.9049575000001
57,2025-12-23,06:17,buy,87215.31,0.00054,47.0962674,0.0470962674,0.005310000000000004,775.5677389,304.9049575000001
58,2025-12-23,16:03,sell,88014.02,0.00053,46.6474306,0.04664743,0.004780000000000004,775.5677389,351.5523881000001
59,2025-12-23,20:45,sell,88313.04,0.00052,45.92278079999999,0.04592278,0.004260000000000004,775.5677389,397.4751689000001
60,2025-12-24,02:43,buy,87179.89,0.00046,40.1027494,0.0401027494,0.004720000000000005,815.6704883,397.4751689000001
61,2025-12-24,14:34,buy,87025.85,0.00049,42.642666500000004,0.0426426665,0.005210000000000004,858.3131548,397.4751689000001
62,2025-12-24,16:33,sell,87330.44,0.00049,42.7919156,0.04279192,0.004720000000000004,858.3131548,440.26708450000007
63,2025-12-24,22:13,sell,87883.85,0.00047,41.3054095,0.04130541,0.004250000000000004,858.3131548,481.57249400000006
64,2025-12-25,15:43,sell,88245.69,0.0004,35.298276,0.03529828,0.0038500000000000036,858.3131548,516.8707700000001
65,2025-12-25,23:33,buy,87160.17,0.00048,41.8368816,0.041836881599999994,0.004330000000000003,900.1500364,516.8707700000001
66,2025-12-26,01:48,sell,87482.95,0.00002,1.749659,0.00174966,0.004310000000000003,900.1500364,518.6204290000001
67,2025-12-26,01:48,sell,87482.95,0.00046,40.242157,0.04024216,0.0038500000000000027,900.1500364,558.8625860000001
68,2025-12-26,02:13,sell,87788.07,0.00042,36.870989400000006,0.03687099,0.0034300000000000025,900.1500364,595.7335754000001
69,2025-12-26,02:14,sell,88093.2,0.00035,30.83262,0.03083262,0.003080000000000003,900.1500364,626.5661954000001
70,2025-12-26,02:15,sell,88398.32,0.00029,25.6355128,0.02563551,0.0027900000000000025,900.1500364,652.2017082000001
71,2025-12-26,02:20,sell,88811.72,0.00055,48.846446,0.04884645,0.0022400000000000024,900.1500364,701.0481542000001
72,2025-12-26,02:25,sell,89192.84,0.00045,40.136778,0.04013678,0.0017900000000000017,900.1500364,741.1849322000002
73,2025-12-26,07:23,sell,89467.22,0.00054,48.3122988,0.0483123,0.0012500000000000011,900.1500364,789.4972310000002
74,2025-12-26,07:49,buy,88643.98,0.00054,47.8677492,0.0478677492,0.0017900000000000017,948.0177856,789.4972310000002
75,2025-12-26,14:48,buy,88232.36,0.00044,38.8222384,0.0388222384,0.002230000000000001,986.8400240000001,789.4972310000002
